Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Date,Request Hour,Day of week,Trip Completed
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,13-07-2016,21,Wednesday,TRUE
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,14-07-2016,2,Thursday,TRUE
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,14-07-2016,14,Thursday,TRUE
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,14-07-2016,21,Thursday,TRUE
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,15-07-2016,0,Friday,TRUE
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,15-07-2016,7,Friday,TRUE
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,15-07-2016,14,Friday,TRUE
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016 20:41,11-07-2016,19,Monday,TRUE
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016 23:12,11-07-2016,22,Monday,TRUE
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016 21:28,12-07-2016,20,Tuesday,TRUE
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,14-07-2016,3,Thursday,TRUE
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,14-07-2016,9,Thursday,TRUE
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,14-07-2016,18,Thursday,TRUE
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,15-07-2016,9,Friday,TRUE
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,15-07-2016,15,Friday,TRUE
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18,11-07-2016,8,Monday,TRUE
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016 20:30,11-07-2016,19,Monday,TRUE
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016 09:24,12-07-2016,8,Tuesday,TRUE
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016 22:20,12-07-2016,21,Tuesday,TRUE
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,13-07-2016,10,Wednesday,TRUE
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,14-07-2016,11,Thursday,TRUE
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52,11-07-2016,9,Monday,TRUE
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016 18:52,11-07-2016,17,Monday,TRUE
1346,Airport,9,Trip Completed,11-07-2016 23:39,12-07-2016 00:23,11-07-2016,23,Monday,TRUE
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016 05:56,12-07-2016,5,Tuesday,TRUE
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016 18:54,12-07-2016,18,Tuesday,TRUE
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,13-07-2016,8,Wednesday,TRUE
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,13-07-2016,17,Wednesday,TRUE
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,13-07-2016,20,Wednesday,TRUE
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,13-07-2016,23,Wednesday,TRUE
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,14-07-2016,4,Thursday,TRUE
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,14-07-2016,17,Thursday,TRUE
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,15-07-2016,5,Friday,TRUE
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,15-07-2016,11,Friday,TRUE
1809,Airport,01-Jan,Trip Completed,12-07-2016 09:13,12-07-2016 10:01,12-07-2016,9,Tuesday,TRUE
2064,Airport,01-Jan,Trip Completed,12-07-2016 15:08,12-07-2016 16:14,12-07-2016,15,Tuesday,TRUE
3210,City,01-Jan,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,13-07-2016,9,Wednesday,TRUE
4350,City,01-Jan,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,14-07-2016,7,Thursday,TRUE
4713,City,01-Jan,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,14-07-2016,13,Thursday,TRUE
5629,Airport,01-Jan,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,15-07-2016,6,Friday,TRUE
6157,Airport,01-Jan,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,15-07-2016,16,Friday,TRUE
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016 15:02,12-07-2016,14,Tuesday,TRUE
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,13-07-2016,10,Wednesday,TRUE
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,13-07-2016,13,Wednesday,TRUE
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,14-07-2016,6,Thursday,TRUE
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,14-07-2016,18,Thursday,TRUE
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,15-07-2016,7,Friday,TRUE
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,15-07-2016,8,Friday,TRUE
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,15-07-2016,19,Friday,TRUE
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09,11-07-2016,3,Monday,TRUE
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40,11-07-2016,6,Monday,TRUE
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016 21:38,11-07-2016,21,Monday,TRUE
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016 06:59,12-07-2016,5,Tuesday,TRUE
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016 21:26,12-07-2016,20,Tuesday,TRUE
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016 23:05,12-07-2016,22,Tuesday,TRUE
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,14-07-2016,2,Thursday,TRUE
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,14-07-2016,10,Thursday,TRUE
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,14-07-2016,19,Thursday,TRUE
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,15-07-2016,7,Friday,TRUE
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,15-07-2016,10,Friday,TRUE
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,15-07-2016,19,Friday,TRUE
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28,11-07-2016,5,Monday,TRUE
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28,11-07-2016,7,Monday,TRUE
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016 12:42,11-07-2016,11,Monday,TRUE
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016 19:57,11-07-2016,19,Monday,TRUE
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016 08:42,12-07-2016,8,Tuesday,TRUE
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12,13-07-2016,8,Wednesday,TRUE
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45,14-07-2016,5,Thursday,TRUE
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00,14-07-2016,11,Thursday,TRUE
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24,14-07-2016,21,Thursday,TRUE
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02,15-07-2016,5,Friday,TRUE
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41,15-07-2016,22,Friday,TRUE
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016 06:09,11-07-2016,5,Monday,TRUE
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016 07:07,11-07-2016,6,Monday,TRUE
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016 10:07,12-07-2016,9,Tuesday,TRUE
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016 22:14,12-07-2016,21,Tuesday,TRUE
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55,13-07-2016,13,Wednesday,TRUE
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16,14-07-2016,21,Thursday,TRUE
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33,15-07-2016,17,Friday,TRUE
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37,15-07-2016,23,Friday,TRUE
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016 20:24,11-07-2016,19,Monday,TRUE
2675,Airport,15,Trip Completed,12-07-2016 23:43,13-07-2016 00:35,12-07-2016,23,Tuesday,TRUE
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30,13-07-2016,9,Wednesday,TRUE
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21,13-07-2016,21,Wednesday,TRUE
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22,14-07-2016,8,Thursday,TRUE
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05,14-07-2016,20,Thursday,TRUE
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25,15-07-2016,12,Friday,TRUE
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40,15-07-2016,20,Friday,TRUE
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016 12:31,11-07-2016,11,Monday,TRUE
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016 15:03,11-07-2016,14,Monday,TRUE
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016 21:52,11-07-2016,20,Monday,TRUE
2661,Airport,16,Trip Completed,12-07-2016 23:23,13-07-2016 00:27,12-07-2016,23,Tuesday,TRUE
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56,13-07-2016,5,Wednesday,TRUE
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45,13-07-2016,10,Wednesday,TRUE
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45,13-07-2016,15,Wednesday,TRUE
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55,13-07-2016,22,Wednesday,TRUE
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46,14-07-2016,4,Thursday,TRUE
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19,14-07-2016,8,Thursday,TRUE
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06,14-07-2016,14,Thursday,TRUE
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53,14-07-2016,22,Thursday,TRUE
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30,15-07-2016,16,Friday,TRUE
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32,15-07-2016,20,Friday,TRUE
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016 13:06,11-07-2016,12,Monday,TRUE
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016 19:26,11-07-2016,18,Monday,TRUE
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016 23:25,12-07-2016,22,Tuesday,TRUE
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26,13-07-2016,7,Wednesday,TRUE
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39,14-07-2016,14,Thursday,TRUE
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43,14-07-2016,18,Thursday,TRUE
5367,Airport,17,Trip Completed,14-07-2016 23:35,15-07-2016 00:25,14-07-2016,23,Thursday,TRUE
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016 05:47,15-07-2016,4,Friday,TRUE
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016 12:55,15-07-2016,11,Friday,TRUE
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016 21:00,15-07-2016,20,Friday,TRUE
499,City,18,Trip Completed,11-07-2016 09:39,11-07-2016 10:16,11-07-2016,9,Monday,TRUE
1147,Airport,18,Trip Completed,11-07-2016 20:42,11-07-2016 21:18,11-07-2016,20,Monday,TRUE
1410,Airport,18,Trip Completed,12-07-2016 03:14,12-07-2016 04:27,12-07-2016,3,Tuesday,TRUE
1804,Airport,18,Trip Completed,12-07-2016 09:12,12-07-2016 09:57,12-07-2016,9,Tuesday,TRUE
1949,Airport,18,Trip Completed,12-07-2016 11:32,12-07-2016 12:13,12-07-2016,11,Tuesday,TRUE
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016 02:37,13-07-2016,1,Wednesday,TRUE
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016 06:10,13-07-2016,5,Wednesday,TRUE
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016 23:33,13-07-2016,22,Wednesday,TRUE
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016 17:34,14-07-2016,16,Thursday,TRUE
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016 21:56,14-07-2016,20,Thursday,TRUE
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016 10:55,15-07-2016,9,Friday,TRUE
494,City,19,Trip Completed,11-07-2016 09:36,11-07-2016 10:02,11-07-2016,9,Monday,TRUE
1485,City,19,Trip Completed,12-07-2016 05:21,12-07-2016 06:35,12-07-2016,5,Tuesday,TRUE
2042,City,19,Trip Completed,12-07-2016 14:30,12-07-2016 15:09,12-07-2016,14,Tuesday,TRUE
2561,Airport,19,Trip Completed,12-07-2016 21:29,12-07-2016 22:44,12-07-2016,21,Tuesday,TRUE
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016 21:46,13-07-2016,21,Wednesday,TRUE
4260,Airport,19,Trip Completed,14-07-2016 06:11,14-07-2016 06:59,14-07-2016,6,Thursday,TRUE
4395,City,19,Trip Completed,14-07-2016 08:00,14-07-2016 08:54,14-07-2016,8,Thursday,TRUE
5919,City,19,Trip Completed,15-07-2016 10:03,15-07-2016 10:59,15-07-2016,10,Friday,TRUE
6002,Airport,19,Trip Completed,15-07-2016 12:04,15-07-2016 12:53,15-07-2016,12,Friday,TRUE
468,City,02-Jan,Trip Completed,11-07-2016 09:20,11-07-2016 10:05,11-07-2016,9,Monday,TRUE
693,Airport,02-Jan,Trip Completed,11-07-2016 13:51,11-07-2016 15:01,11-07-2016,13,Monday,TRUE
1178,City,02-Jan,Trip Completed,11-07-2016 21:05,11-07-2016 22:06,11-07-2016,21,Monday,TRUE
2103,City,02-Jan,Trip Completed,12-07-2016 16:08,12-07-2016 17:18,12-07-2016,16,Tuesday,TRUE
2292,Airport,02-Jan,Trip Completed,12-07-2016 18:46,12-07-2016 19:23,12-07-2016,18,Tuesday,TRUE
3339,City,02-Jan,Trip Completed,13-07-2016 12:40,13-07-2016 13:30,13-07-2016,12,Wednesday,TRUE
3694,City,02-Jan,Trip Completed,13-07-2016 19:33,13-07-2016 20:35,13-07-2016,19,Wednesday,TRUE
4469,City,02-Jan,Trip Completed,14-07-2016 08:45,14-07-2016 09:48,14-07-2016,8,Thursday,TRUE
6432,City,02-Jan,Trip Completed,15-07-2016 19:50,15-07-2016 20:30,15-07-2016,19,Friday,TRUE
1895,City,21,Trip Completed,12-07-2016 10:20,12-07-2016 10:52,12-07-2016,10,Tuesday,TRUE
1981,Airport,21,Trip Completed,12-07-2016 12:23,12-07-2016 12:56,12-07-2016,12,Tuesday,TRUE
3744,Airport,21,Trip Completed,13-07-2016 20:28,13-07-2016 21:22,13-07-2016,20,Wednesday,TRUE
4433,Airport,21,Trip Completed,14-07-2016 08:26,14-07-2016 09:12,14-07-2016,8,Thursday,TRUE
6039,Airport,21,Trip Completed,15-07-2016 13:11,15-07-2016 13:38,15-07-2016,13,Friday,TRUE
6543,City,21,Trip Completed,15-07-2016 20:54,15-07-2016 22:12,15-07-2016,20,Friday,TRUE
110,City,22,Trip Completed,11-07-2016 05:05,11-07-2016 06:06,11-07-2016,5,Monday,TRUE
362,City,22,Trip Completed,11-07-2016 08:01,11-07-2016 09:18,11-07-2016,8,Monday,TRUE
666,Airport,22,Trip Completed,11-07-2016 13:02,11-07-2016 13:45,11-07-2016,13,Monday,TRUE
926,City,22,Trip Completed,11-07-2016 18:28,11-07-2016 19:34,11-07-2016,18,Monday,TRUE
1180,Airport,22,Trip Completed,11-07-2016 21:01,11-07-2016 22:14,11-07-2016,21,Monday,TRUE
1900,City,22,Trip Completed,12-07-2016 10:32,12-07-2016 11:42,12-07-2016,10,Tuesday,TRUE
2506,City,22,Trip Completed,12-07-2016 21:01,12-07-2016 21:38,12-07-2016,21,Tuesday,TRUE
3064,City,22,Trip Completed,13-07-2016 08:02,13-07-2016 08:58,13-07-2016,8,Wednesday,TRUE
3327,Airport,22,Trip Completed,13-07-2016 12:24,13-07-2016 13:23,13-07-2016,12,Wednesday,TRUE
3601,City,22,Trip Completed,13-07-2016 18:39,13-07-2016 19:29,13-07-2016,18,Wednesday,TRUE
4768,Airport,22,Trip Completed,14-07-2016 15:39,14-07-2016 16:49,14-07-2016,15,Thursday,TRUE
5142,City,22,Trip Completed,14-07-2016 20:17,14-07-2016 20:48,14-07-2016,20,Thursday,TRUE
5366,Airport,22,Trip Completed,14-07-2016 23:27,15-07-2016 00:19,14-07-2016,23,Thursday,TRUE
5575,City,22,Trip Completed,15-07-2016 05:53,15-07-2016 06:50,15-07-2016,5,Friday,TRUE
5902,City,22,Trip Completed,15-07-2016 09:52,15-07-2016 10:37,15-07-2016,9,Friday,TRUE
6694,Airport,22,Trip Completed,15-07-2016 22:45,15-07-2016 23:17,15-07-2016,22,Friday,TRUE
523,Airport,23,Trip Completed,11-07-2016 09:48,11-07-2016 10:37,11-07-2016,9,Monday,TRUE
747,City,23,Trip Completed,11-07-2016 15:53,11-07-2016 16:43,11-07-2016,15,Monday,TRUE
1371,Airport,23,Trip Completed,12-07-2016 00:22,12-07-2016 01:33,12-07-2016,0,Tuesday,TRUE
1553,City,23,Trip Completed,12-07-2016 06:09,12-07-2016 07:09,12-07-2016,6,Tuesday,TRUE
1692,Airport,23,Trip Completed,12-07-2016 07:52,12-07-2016 09:01,12-07-2016,7,Tuesday,TRUE
2114,City,23,Trip Completed,12-07-2016 16:36,12-07-2016 17:21,12-07-2016,16,Tuesday,TRUE
2742,City,23,Trip Completed,13-07-2016 03:07,13-07-2016 03:51,13-07-2016,3,Wednesday,TRUE
4273,City,23,Trip Completed,14-07-2016 06:17,14-07-2016 07:02,14-07-2016,6,Thursday,TRUE
4668,City,23,Trip Completed,14-07-2016 12:25,14-07-2016 13:34,14-07-2016,12,Thursday,TRUE
5425,City,23,Trip Completed,15-07-2016 02:23,15-07-2016 03:08,15-07-2016,2,Friday,TRUE
5488,City,23,Trip Completed,15-07-2016 04:53,15-07-2016 06:00,15-07-2016,4,Friday,TRUE
5781,City,23,Trip Completed,15-07-2016 08:35,15-07-2016 09:42,15-07-2016,8,Friday,TRUE
5966,Airport,23,Trip Completed,15-07-2016 10:54,15-07-2016 11:58,15-07-2016,10,Friday,TRUE
6122,City,23,Trip Completed,15-07-2016 15:26,15-07-2016 16:29,15-07-2016,15,Friday,TRUE
357,Airport,24,Trip Completed,11-07-2016 08:00,11-07-2016 09:08,11-07-2016,8,Monday,TRUE
1068,City,24,Trip Completed,11-07-2016 19:52,11-07-2016 20:48,11-07-2016,19,Monday,TRUE
2689,Airport,24,Trip Completed,13-07-2016 00:34,13-07-2016 01:49,13-07-2016,0,Wednesday,TRUE
2791,City,24,Trip Completed,13-07-2016 04:56,13-07-2016 05:33,13-07-2016,4,Wednesday,TRUE
3321,City,24,Trip Completed,13-07-2016 12:23,13-07-2016 13:25,13-07-2016,12,Wednesday,TRUE
3423,Airport,24,Trip Completed,13-07-2016 15:52,13-07-2016 16:50,13-07-2016,15,Wednesday,TRUE
3761,Airport,24,Trip Completed,13-07-2016 20:35,13-07-2016 21:39,13-07-2016,20,Wednesday,TRUE
4140,City,24,Trip Completed,14-07-2016 04:48,14-07-2016 06:05,14-07-2016,4,Thursday,TRUE
4656,City,24,Trip Completed,14-07-2016 12:06,14-07-2016 12:49,14-07-2016,12,Thursday,TRUE
4931,Airport,24,Trip Completed,14-07-2016 18:21,14-07-2016 18:54,14-07-2016,18,Thursday,TRUE
5268,City,24,Trip Completed,14-07-2016 21:29,14-07-2016 22:30,14-07-2016,21,Thursday,TRUE
5811,City,24,Trip Completed,15-07-2016 08:46,15-07-2016 09:26,15-07-2016,8,Friday,TRUE
6139,Airport,24,Trip Completed,15-07-2016 15:45,15-07-2016 16:40,15-07-2016,15,Friday,TRUE
6333,Airport,24,Trip Completed,15-07-2016 18:41,15-07-2016 19:53,15-07-2016,18,Friday,TRUE
773,City,25,Trip Completed,11-07-2016 16:23,11-07-2016 17:21,11-07-2016,16,Monday,TRUE
1123,City,25,Trip Completed,11-07-2016 20:20,11-07-2016 21:18,11-07-2016,20,Monday,TRUE
2667,Airport,25,Trip Completed,12-07-2016 23:35,13-07-2016 00:40,12-07-2016,23,Tuesday,TRUE
2833,City,25,Trip Completed,13-07-2016 05:27,13-07-2016 06:19,13-07-2016,5,Wednesday,TRUE
